"Device_ID","Device_Type","Operating_System","Department","Vulnerability","Threat","Attack","CPU_Usage","Memory_Usage","Network_Traffic","Failed_Logins","Open_Ports","Patch_Level","Firewall","Antivirus","User_Behaviour_Score","Risk_Score","Compromised"
"DEV0172","IoT Device","Linux","Admin","Firewall Misconfiguration","Insider Threat","Phishing",29.78,63.69,55.66,7,21,"Updated","Disabled","Installed",78.3,3,"Yes"
"DEV0173","IoT Device","Android","Admin","Unpatched Software","Malware","Phishing",58.58,38.97,473.53,0,10,"Outdated","Disabled","Not Installed",46.58,27,"Yes"
"DEV0174","IoT Device","Android","HR","Remote Code Execution","Malware","Brute Force",26.95,59.62,276.34,4,18,"Updated","Enabled","Not Installed",83.25,64,"Yes"
"DEV0175","Laptop","Android","Finance","Open Port","APT","DDoS",43.71,26.08,345.09,9,6,"Updated","Disabled","Not Installed",79,16,"No"
"DEV0176","Server","Linux","Finance","Firewall Misconfiguration","Ransomware","Phishing",30.36,68.35,282.14,9,20,"Updated","Disabled","Installed",91.89,30,"No"
"DEV0177","Server","Linux","IT","Weak Password","Insider Threat","Phishing",49.43,25.19,77.39,7,13,"Outdated","Enabled","Not Installed",51.47,45,"No"
"DEV0178","IoT Device","Linux","Finance","Weak Password","Insider Threat","Phishing",57.69,69.83,379.29,12,25,"Updated","Enabled","Not Installed",96.47,64,"No"
"DEV0179","IoT Device","Windows","Admin","Unpatched Software","Ransomware","Brute Force",22.05,43.21,360.35,7,9,"Updated","Disabled","Not Installed",43.35,89,"Yes"
"DEV0180","Desktop","Windows","IT","Buffer Overflow","Malware","DDoS",54.94,66.23,369.29,2,23,"Updated","Disabled","Not Installed",88.59,49,"Yes"
"DEV0181","IoT Device","macOS","Admin","Buffer Overflow","Insider Threat","Brute Force",91.96,83.84,152.27,6,6,"Updated","Disabled","Installed",68.53,12,"No"
"DEV0182","Laptop","Windows","HR","Buffer Overflow","Malware","Brute Force",38.09,81.33,210.71,12,23,"Outdated","Enabled","Installed",90.69,88,"No"
"DEV0183","Server","Windows","IT","Privilege Escalation","APT","DDoS",24.43,29.84,275.11,17,8,"Outdated","Disabled","Installed",61.09,45,"Yes"
"DEV0184","Laptop","macOS","IT","Firewall Misconfiguration","Ransomware","Brute Force",45.2,37.02,478.81,13,13,"Updated","Disabled","Installed",60.19,56,"Yes"
"DEV0185","Server","Windows","Sales","Privilege Escalation","APT","Phishing",42.19,60.4,256.78,4,6,"Updated","Enabled","Installed",51.66,25,"No"
"DEV0186","Desktop","Android","HR","Firewall Misconfiguration","Malware","Phishing",57.87,42.84,81.7,7,22,"Updated","Disabled","Installed",57.54,62,"No"
"DEV0187","Desktop","Android","Admin","Open Port","Malware","Phishing",48.45,49.82,249.23,17,15,"Updated","Disabled","Not Installed",53.07,86,"No"
"DEV0188","Laptop","Linux","Finance","Unpatched Software","Malware","Brute Force",73.65,69.83,256.41,14,22,"Outdated","Disabled","Not Installed",51.61,32,"Yes"
"DEV0189","Server","macOS","Finance","Firewall Misconfiguration","Malware","Brute Force",90.88,80.25,216.58,15,3,"Updated","Disabled","Installed",60.79,70,"No"
"DEV0190","Desktop","macOS","IT","SQL Injection","APT","Phishing",53.26,29.5,238.11,1,8,"Outdated","Disabled","Installed",96.93,8,"Yes"
"DEV0191","IoT Device","Linux","IT","SQL Injection","Malware","Phishing",61.85,57.77,487.69,17,20,"Updated","Disabled","Installed",81.31,8,"Yes"
"DEV0192","Laptop","Linux","Finance","Outdated Antivirus","APT","Phishing",47.05,88,58.4,19,21,"Updated","Disabled","Not Installed",41.22,51,"Yes"
"DEV0193","Server","Windows","Sales","Weak Password","Insider Threat","DDoS",86.2,50.96,470.51,4,3,"Updated","Enabled","Installed",46.45,65,"Yes"
"DEV0194","IoT Device","Android","Sales","SQL Injection","Insider Threat","Phishing",33.12,49.62,499.91,7,25,"Outdated","Disabled","Not Installed",76.08,66,"Yes"
"DEV0195","IoT Device","macOS","HR","Firewall Misconfiguration","Ransomware","Brute Force",50.74,38.2,134.12,11,7,"Updated","Disabled","Not Installed",87.34,27,"Yes"
"DEV0196","Server","macOS","HR","Unpatched Software","APT","DDoS",74.29,53.87,443.12,13,6,"Outdated","Disabled","Not Installed",70.96,14,"Yes"
"DEV0197","Server","Windows","Sales","Cross-Site Scripting","Insider Threat","Phishing",96.21,82.54,310.43,8,10,"Updated","Disabled","Not Installed",99.12,46,"Yes"
"DEV0198","IoT Device","Android","Admin","Buffer Overflow","Insider Threat","Brute Force",38.44,30.59,432.13,17,24,"Outdated","Enabled","Not Installed",80.29,11,"Yes"
"DEV0199","Laptop","macOS","HR","Firewall Misconfiguration","APT","Phishing",74.95,87.44,443.84,14,8,"Outdated","Disabled","Installed",48.35,74,"No"
"DEV0200","IoT Device","Windows","Admin","SQL Injection","Insider Threat","DDoS",26.88,85.81,287.63,8,22,"Updated","Enabled","Installed",87.99,36,"No"
"DEV0201","Desktop","Windows","Admin","Cross-Site Scripting","APT","Phishing",76.63,57.14,439.2,13,1,"Outdated","Enabled","Not Installed",69.01,46,"No"
"DEV0202","Desktop","Android","Admin","Firewall Misconfiguration","Ransomware","DDoS",94.11,69.13,369.15,16,4,"Updated","Disabled","Installed",45.2,68,"Yes"
"DEV0203","IoT Device","Linux","IT","SQL Injection","Insider Threat","DDoS",84.79,97.96,133.38,20,1,"Outdated","Disabled","Installed",43.93,12,"No"
"DEV0204","Laptop","Windows","HR","Open Port","Malware","Brute Force",34,68.17,152.65,9,16,"Outdated","Enabled","Installed",87.27,45,"Yes"
"DEV0205","IoT Device","Windows","Sales","Open Port","Malware","Brute Force",25.53,56.4,464.32,13,5,"Outdated","Enabled","Not Installed",99.49,23,"Yes"
"DEV0206","IoT Device","Windows","Admin","Weak Password","APT","Brute Force",64.26,41.14,94,14,14,"Outdated","Disabled","Installed",79.37,24,"Yes"
"DEV0207","Desktop","Android","Sales","Open Port","Ransomware","Brute Force",59.66,97.86,158.24,12,23,"Outdated","Disabled","Installed",83.92,5,"Yes"
"DEV0208","Server","Windows","IT","Privilege Escalation","Insider Threat","Phishing",86.13,34.27,458.25,4,20,"Outdated","Disabled","Not Installed",68.46,27,"Yes"
"DEV0209","IoT Device","Windows","HR","Remote Code Execution","Malware","Phishing",66.79,52.08,297.67,16,7,"Outdated","Enabled","Installed",82.31,11,"No"
"DEV0210","IoT Device","Windows","Sales","Outdated Antivirus","Insider Threat","Phishing",74.13,36.99,390.34,20,5,"Outdated","Enabled","Not Installed",59.54,18,"No"
"DEV0211","IoT Device","macOS","IT","Firewall Misconfiguration","APT","DDoS",37.73,19.82,305.15,20,9,"Updated","Disabled","Not Installed",61.21,72,"Yes"
"DEV0212","Server","macOS","HR","Outdated Antivirus","Malware","DDoS",45.77,94.34,300.22,12,9,"Updated","Disabled","Installed",79.14,16,"Yes"
"DEV0213","Laptop","Android","IT","SQL Injection","Ransomware","DDoS",60.39,21.4,62.34,9,8,"Outdated","Enabled","Not Installed",91.01,61,"Yes"
"DEV0214","IoT Device","Windows","HR","Weak Password","Insider Threat","DDoS",95.47,53.69,295.74,20,10,"Outdated","Enabled","Installed",53.52,60,"No"
"DEV0215","IoT Device","Android","HR","Privilege Escalation","APT","Phishing",38.83,30.92,251.14,10,5,"Updated","Enabled","Installed",91.73,46,"Yes"
"DEV0216","IoT Device","Windows","IT","Weak Password","Malware","Phishing",41.6,96.44,223.82,13,22,"Updated","Disabled","Installed",79.32,75,"No"
"DEV0217","Desktop","macOS","Admin","Buffer Overflow","Insider Threat","Brute Force",66.96,92.22,58.03,20,3,"Outdated","Disabled","Installed",48.92,5,"Yes"
"DEV0218","Laptop","Android","HR","Unpatched Software","Malware","DDoS",25.71,58.1,400.69,9,17,"Updated","Disabled","Not Installed",70.21,74,"Yes"
"DEV0219","Desktop","Android","Finance","SQL Injection","Ransomware","Brute Force",22.97,94.33,61.08,12,13,"Updated","Disabled","Not Installed",75.02,100,"No"
"DEV0220","Server","Android","Sales","Remote Code Execution","Malware","DDoS",79.33,73.64,299.4,15,22,"Outdated","Disabled","Not Installed",42.93,72,"No"
"DEV0221","IoT Device","Linux","HR","Open Port","APT","Phishing",68.96,69.33,331.57,17,14,"Updated","Disabled","Not Installed",56.29,48,"Yes"
"DEV0222","Server","Linux","IT","Weak Password","Insider Threat","DDoS",80.24,33.38,228.45,2,1,"Outdated","Disabled","Not Installed",97.51,48,"No"
"DEV0223","Laptop","Android","Finance","Privilege Escalation","Malware","DDoS",40.98,66.56,335.09,2,10,"Outdated","Disabled","Not Installed",84.74,44,"Yes"
"DEV0224","Server","Android","Finance","Open Port","Insider Threat","Phishing",84.42,87.84,373.76,9,15,"Outdated","Disabled","Installed",98.91,13,"No"
"DEV0225","IoT Device","macOS","Finance","Unpatched Software","Ransomware","Brute Force",86.1,39.54,425.77,9,17,"Updated","Enabled","Installed",81.82,18,"No"
"DEV0226","Desktop","macOS","Admin","Buffer Overflow","Insider Threat","Phishing",34.79,44.62,198.23,6,5,"Outdated","Enabled","Installed",91.38,94,"Yes"
"DEV0227","Laptop","Linux","Finance","SQL Injection","Malware","Phishing",21.94,35.69,341.54,8,16,"Updated","Disabled","Installed",49.05,73,"No"
"DEV0228","Laptop","Android","Sales","Open Port","APT","Phishing",47.17,72.68,316.23,17,10,"Updated","Enabled","Not Installed",60.38,38,"No"
"DEV0229","Desktop","macOS","HR","Open Port","Malware","Phishing",61.36,34.62,162.6,0,20,"Updated","Enabled","Installed",69.49,41,"No"
"DEV0230","Server","Android","HR","Remote Code Execution","Insider Threat","Phishing",99.6,23.15,388.75,18,11,"Outdated","Disabled","Installed",56.67,14,"Yes"
"DEV0231","Laptop","Android","Finance","Unpatched Software","Malware","Brute Force",53.01,30.94,145.24,19,6,"Updated","Enabled","Installed",81.3,37,"No"
"DEV0232","Desktop","macOS","Admin","Cross-Site Scripting","Malware","DDoS",52.37,76.29,309.78,6,2,"Outdated","Disabled","Installed",91.73,78,"No"
"DEV0233","Desktop","Windows","IT","SQL Injection","Insider Threat","Brute Force",86.12,39.45,405.26,1,3,"Outdated","Disabled","Installed",64.23,73,"No"
"DEV0234","Laptop","Linux","Finance","Buffer Overflow","APT","Brute Force",87.04,70.46,76.47,16,23,"Outdated","Enabled","Installed",89.59,54,"No"
"DEV0235","IoT Device","Android","IT","Firewall Misconfiguration","Malware","Phishing",24.56,37.14,466.98,15,21,"Outdated","Enabled","Installed",42.55,71,"No"
"DEV0236","IoT Device","Linux","IT","Unpatched Software","Malware","DDoS",56.69,15.94,262.32,16,16,"Updated","Enabled","Not Installed",91.82,87,"Yes"
"DEV0237","IoT Device","Linux","HR","Open Port","Insider Threat","DDoS",43.33,73.22,404.51,17,10,"Updated","Disabled","Not Installed",68.89,65,"Yes"
"DEV0238","Desktop","Linux","Admin","Buffer Overflow","APT","Brute Force",44.81,32.3,272.17,11,11,"Outdated","Enabled","Not Installed",63.67,61,"No"
"DEV0239","IoT Device","Android","Admin","Firewall Misconfiguration","Ransomware","DDoS",80.94,79.71,313.64,16,7,"Outdated","Disabled","Installed",70.62,22,"Yes"
"DEV0240","Laptop","Windows","IT","Privilege Escalation","APT","Phishing",21.16,27.65,199.19,10,19,"Outdated","Enabled","Not Installed",92.5,89,"Yes"
"DEV0241","Laptop","Windows","Finance","Unpatched Software","APT","Brute Force",78.4,93.48,262.62,3,10,"Outdated","Disabled","Installed",90.42,32,"No"
"DEV0242","Desktop","Linux","Finance","Unpatched Software","Insider Threat","DDoS",30.25,82.82,331.24,15,23,"Updated","Enabled","Not Installed",97.77,35,"Yes"
"DEV0243","Laptop","Linux","HR","Buffer Overflow","Ransomware","Phishing",71.14,15.6,476.73,7,3,"Updated","Disabled","Installed",49.17,35,"No"
"DEV0244","IoT Device","Android","Finance","Firewall Misconfiguration","Malware","DDoS",23.59,74.21,392.47,0,11,"Outdated","Enabled","Installed",73.97,56,"Yes"
"DEV0245","Server","Windows","HR","Remote Code Execution","APT","Brute Force",69.08,72.25,52.86,10,23,"Updated","Enabled","Not Installed",91.24,7,"Yes"
"DEV0246","Laptop","Android","Admin","Remote Code Execution","APT","Phishing",29.7,32.38,438.2,1,18,"Outdated","Disabled","Installed",74.42,52,"Yes"
"DEV0247","Laptop","macOS","Finance","Weak Password","APT","Phishing",23.81,46.13,427.83,10,18,"Outdated","Disabled","Installed",75.06,17,"No"
"DEV0248","IoT Device","Windows","Admin","Remote Code Execution","APT","Phishing",77.62,49.53,219.67,18,11,"Updated","Disabled","Not Installed",70.85,51,"No"
"DEV0249","IoT Device","macOS","HR","Unpatched Software","Ransomware","DDoS",84.21,47.78,245.04,7,17,"Updated","Enabled","Not Installed",94.97,17,"Yes"
"DEV0250","Desktop","macOS","HR","Outdated Antivirus","APT","DDoS",81.29,79.95,212.72,4,17,"Updated","Enabled","Installed",47.15,94,"No"
"DEV0251","Laptop","Linux","HR","Unpatched Software","Ransomware","Brute Force",66.83,19.18,108.43,15,19,"Outdated","Enabled","Not Installed",84.39,15,"Yes"
"DEV0252","IoT Device","macOS","Sales","Remote Code Execution","Malware","Phishing",58.3,19.51,122.49,4,20,"Outdated","Disabled","Not Installed",47.4,4,"No"
"DEV0253","Desktop","macOS","HR","Firewall Misconfiguration","Malware","Phishing",22.78,55.41,409.37,9,14,"Updated","Enabled","Not Installed",69.13,26,"Yes"
"DEV0254","Laptop","Android","HR","Remote Code Execution","Malware","Phishing",39.22,57.49,423.4,6,23,"Updated","Disabled","Installed",56.77,92,"Yes"
"DEV0255","Laptop","macOS","IT","Cross-Site Scripting","APT","Brute Force",54.49,33.17,123.56,9,2,"Outdated","Disabled","Not Installed",41.8,66,"Yes"
"DEV0256","Laptop","Windows","Admin","Open Port","Insider Threat","DDoS",74.68,65.71,325.3,2,19,"Updated","Disabled","Installed",80.7,67,"No"
"DEV0257","Server","macOS","Finance","SQL Injection","Malware","Brute Force",86.39,68.04,335.56,11,14,"Updated","Disabled","Installed",43.33,39,"Yes"
"DEV0258","Server","Windows","Finance","Firewall Misconfiguration","Insider Threat","DDoS",32.65,70.23,140.3,15,1,"Outdated","Enabled","Not Installed",76.22,1,"No"
"DEV0259","Desktop","macOS","IT","Cross-Site Scripting","Malware","Brute Force",80.74,26.03,308.12,2,6,"Updated","Disabled","Installed",81.3,82,"No"
"DEV0260","Laptop","Windows","HR","SQL Injection","APT","Phishing",54.58,26.83,408.97,16,7,"Updated","Disabled","Not Installed",93.31,98,"No"
"DEV0261","IoT Device","Windows","HR","Weak Password","Ransomware","Brute Force",41.11,97.98,300.26,10,19,"Outdated","Disabled","Installed",82.12,38,"Yes"
"DEV0262","Desktop","Linux","IT","SQL Injection","Malware","Brute Force",53.67,36.11,150.33,12,25,"Updated","Enabled","Installed",51.19,46,"Yes"
"DEV0263","IoT Device","Linux","HR","Unpatched Software","Insider Threat","Phishing",85.44,33.02,64.4,19,24,"Updated","Disabled","Not Installed",78.28,9,"Yes"
"DEV0264","Server","Windows","HR","Firewall Misconfiguration","Insider Threat","DDoS",96.58,70.7,360.92,4,1,"Updated","Disabled","Installed",67.39,36,"Yes"
"DEV0265","Desktop","Windows","Sales","Unpatched Software","APT","DDoS",47.66,47.28,304.03,14,8,"Updated","Enabled","Installed",77.31,100,"No"
"DEV0266","Server","Windows","HR","Unpatched Software","APT","Phishing",85.53,62.39,469.26,1,16,"Updated","Enabled","Not Installed",59.08,15,"Yes"
"DEV0267","Desktop","macOS","Finance","Buffer Overflow","Ransomware","Brute Force",71.9,24.1,189.92,8,8,"Updated","Enabled","Not Installed",69.71,4,"No"
"DEV0268","Server","Windows","Admin","Outdated Antivirus","Ransomware","Brute Force",36.24,81.04,256.44,0,7,"Outdated","Enabled","Installed",74.74,78,"No"
"DEV0269","Laptop","Windows","Sales","Outdated Antivirus","Ransomware","Brute Force",85.87,45.92,158.35,5,19,"Outdated","Disabled","Not Installed",46.14,67,"No"
"DEV0270","Laptop","Linux","Admin","Weak Password","Ransomware","DDoS",79.02,84.29,416.54,7,5,"Outdated","Enabled","Not Installed",84.09,91,"Yes"
"DEV0271","Laptop","Windows","HR","SQL Injection","Insider Threat","Brute Force",72.16,96.64,103.23,1,4,"Outdated","Enabled","Not Installed",59.5,36,"Yes"
"DEV0272","Laptop","Windows","Finance","Privilege Escalation","APT","Brute Force",37.84,61.26,185.6,8,3,"Outdated","Enabled","Not Installed",97.28,58,"No"
"DEV0273","Server","macOS","Sales","Privilege Escalation","Insider Threat","DDoS",40.56,44,107.34,3,7,"Updated","Disabled","Not Installed",64.6,58,"No"
"DEV0274","Desktop","Linux","Admin","SQL Injection","APT","Brute Force",51.77,94.97,417.13,10,4,"Outdated","Enabled","Installed",97.11,38,"No"
"DEV0275","Laptop","Android","HR","Buffer Overflow","Insider Threat","Brute Force",83.51,75.52,139.5,13,9,"Updated","Disabled","Installed",81.51,32,"Yes"
"DEV0276","Desktop","Android","Finance","Unpatched Software","Malware","Brute Force",78.3,61.56,317.52,16,7,"Updated","Enabled","Not Installed",98.08,97,"No"
"DEV0277","Laptop","macOS","Finance","Open Port","APT","DDoS",94.42,29.41,452.21,17,21,"Outdated","Enabled","Installed",89.93,11,"Yes"
"DEV0278","Server","Linux","IT","Firewall Misconfiguration","Ransomware","DDoS",20.69,68.27,137.39,1,10,"Updated","Enabled","Installed",83.99,70,"No"
"DEV0279","Server","Android","IT","Weak Password","APT","DDoS",34.11,92.86,390.44,1,19,"Outdated","Enabled","Installed",60.58,23,"Yes"
"DEV0280","Laptop","macOS","Admin","Cross-Site Scripting","Ransomware","Phishing",69.51,70.35,239.07,5,3,"Updated","Disabled","Installed",97.86,28,"No"
"DEV0281","IoT Device","Windows","IT","Buffer Overflow","Insider Threat","Phishing",54.22,71.46,323.72,14,12,"Updated","Enabled","Installed",57.09,38,"Yes"
"DEV0282","Desktop","Android","Admin","Remote Code Execution","Insider Threat","Phishing",43.8,25.55,442.84,4,17,"Outdated","Enabled","Installed",48.06,85,"No"
"DEV0283","Server","Linux","IT","SQL Injection","Ransomware","DDoS",87.38,34.65,480.63,8,10,"Updated","Disabled","Installed",42.02,79,"Yes"
"DEV0284","Laptop","Android","Sales","Firewall Misconfiguration","APT","DDoS",40.09,61.14,149.08,12,17,"Updated","Enabled","Not Installed",73.53,76,"No"
"DEV0285","Server","Linux","Finance","Cross-Site Scripting","Insider Threat","Phishing",35.77,64.06,475.94,8,8,"Updated","Disabled","Not Installed",83.47,75,"Yes"
"DEV0286","Desktop","Linux","Sales","Buffer Overflow","Ransomware","Brute Force",22.79,46.07,235.34,14,21,"Updated","Disabled","Installed",95.59,76,"Yes"
"DEV0287","IoT Device","Linux","Sales","SQL Injection","Ransomware","Brute Force",23.42,44,417.53,4,15,"Outdated","Enabled","Installed",50.11,41,"No"
"DEV0288","IoT Device","Linux","Sales","Weak Password","Insider Threat","Phishing",63.93,63.06,149.37,7,23,"Updated","Enabled","Installed",63.07,11,"No"
"DEV0289","Laptop","Android","Admin","Weak Password","Ransomware","Brute Force",44.83,72.65,103.24,19,1,"Updated","Disabled","Installed",53.48,8,"No"
"DEV0290","IoT Device","Windows","Admin","Unpatched Software","Malware","Phishing",34.03,55.97,340.78,20,9,"Updated","Enabled","Not Installed",80.98,26,"No"
"DEV0291","Laptop","macOS","IT","Buffer Overflow","Malware","Phishing",88.55,32.36,465.84,2,25,"Updated","Disabled","Installed",43.99,90,"No"
"DEV0292","Laptop","Linux","Admin","Cross-Site Scripting","APT","DDoS",96.2,43.37,357.63,1,11,"Outdated","Enabled","Not Installed",86.63,94,"Yes"
"DEV0293","Laptop","macOS","Sales","Remote Code Execution","Malware","Brute Force",26.93,71.31,238.96,18,19,"Outdated","Enabled","Installed",82.55,75,"No"
"DEV0294","Laptop","Linux","HR","SQL Injection","Malware","Brute Force",69.17,25.02,286.15,19,4,"Outdated","Disabled","Not Installed",64.98,79,"Yes"
"DEV0295","Server","Windows","Admin","Buffer Overflow","Insider Threat","Phishing",52.16,93.29,231.86,18,7,"Updated","Disabled","Installed",43.46,3,"Yes"
"DEV0296","Desktop","macOS","HR","Weak Password","Insider Threat","Brute Force",33.57,28.79,211.5,9,15,"Updated","Enabled","Not Installed",93.68,83,"No"
"DEV0297","Desktop","Linux","HR","Unpatched Software","APT","Brute Force",86.56,89.42,317.25,16,1,"Updated","Enabled","Not Installed",41.06,83,"No"
"DEV0298","Desktop","Android","HR","SQL Injection","Ransomware","Phishing",73.43,16.4,63.02,5,2,"Updated","Enabled","Not Installed",82.4,11,"No"
"DEV0299","Server","macOS","IT","Outdated Antivirus","Malware","Phishing",61.5,66.44,286.29,10,5,"Outdated","Disabled","Not Installed",61.76,81,"No"
"DEV0300","Laptop","Linux","Admin","SQL Injection","Insider Threat","Phishing",62.14,65.59,232.59,3,6,"Updated","Enabled","Not Installed",52.89,72,"No"
"DEV0301","Desktop","macOS","IT","Buffer Overflow","APT","Brute Force",77.17,67.35,189.81,18,13,"Outdated","Enabled","Installed",41.71,56,"No"
"DEV0302","Desktop","macOS","Finance","Cross-Site Scripting","Insider Threat","Brute Force",89.31,51.35,443.76,13,10,"Updated","Disabled","Installed",92.84,29,"No"
"DEV0303","Laptop","Linux","Finance","Unpatched Software","APT","DDoS",95.82,70.05,388.98,11,2,"Updated","Disabled","Not Installed",90.68,78,"No"
"DEV0304","Desktop","Android","IT","SQL Injection","APT","Phishing",91.64,76.36,155.05,0,21,"Outdated","Disabled","Installed",46.53,90,"Yes"
"DEV0305","Laptop","Linux","Finance","Firewall Misconfiguration","Insider Threat","DDoS",85.29,82.69,191.7,2,10,"Outdated","Enabled","Not Installed",99.34,65,"Yes"
"DEV0306","Laptop","Android","Finance","Remote Code Execution","Insider Threat","Brute Force",32.17,65.6,488.27,3,1,"Updated","Disabled","Not Installed",89.63,47,"Yes"
"DEV0307","Desktop","Android","Admin","Buffer Overflow","Insider Threat","DDoS",77.82,68.97,178.75,0,22,"Outdated","Enabled","Installed",57.95,8,"No"
"DEV0308","Server","Linux","Finance","Buffer Overflow","APT","DDoS",71.54,36.06,381.11,9,18,"Updated","Disabled","Not Installed",52.67,59,"Yes"
"DEV0309","Laptop","macOS","IT","Weak Password","Ransomware","Phishing",75.06,75.41,229.84,18,23,"Outdated","Disabled","Installed",97.79,48,"No"
"DEV0310","Server","Windows","Admin","Remote Code Execution","Malware","DDoS",34.79,38.24,232.71,0,1,"Updated","Disabled","Installed",83.73,13,"Yes"
"DEV0311","IoT Device","Android","Finance","SQL Injection","Malware","Phishing",29.87,76.27,150.67,9,8,"Outdated","Disabled","Not Installed",41.15,15,"No"
"DEV0312","Laptop","Windows","HR","Open Port","Insider Threat","DDoS",65.37,23.03,471.77,4,17,"Outdated","Enabled","Not Installed",80.25,14,"Yes"
"DEV0313","Desktop","Windows","HR","Weak Password","Ransomware","DDoS",83.95,63.98,302.48,9,5,"Outdated","Enabled","Installed",63.94,36,"Yes"
"DEV0314","Laptop","Android","Sales","Weak Password","APT","DDoS",87.38,33.24,455.93,10,25,"Updated","Enabled","Installed",92.8,26,"Yes"
"DEV0315","IoT Device","macOS","Finance","Outdated Antivirus","Ransomware","DDoS",76.49,78.44,257.57,19,7,"Updated","Enabled","Not Installed",44.5,93,"No"
"DEV0316","Desktop","Windows","Finance","Buffer Overflow","Ransomware","Phishing",90.96,97.4,222.37,12,13,"Updated","Enabled","Not Installed",79.71,59,"Yes"
"DEV0317","Desktop","Linux","HR","Privilege Escalation","Ransomware","Phishing",72.54,58.41,222.64,17,7,"Updated","Enabled","Installed",86.2,30,"No"
"DEV0318","Desktop","macOS","Admin","Privilege Escalation","APT","Brute Force",31.94,77.19,378.96,10,21,"Outdated","Enabled","Installed",88.12,31,"Yes"
"DEV0319","Server","Windows","IT","Buffer Overflow","Ransomware","Brute Force",61.82,85.06,355.37,8,18,"Outdated","Enabled","Not Installed",51.37,76,"Yes"
"DEV0320","Laptop","Linux","Finance","Unpatched Software","Ransomware","Brute Force",42.1,23.96,443.03,0,2,"Updated","Enabled","Installed",54.29,65,"Yes"
"DEV0321","Laptop","Linux","Finance","Firewall Misconfiguration","Ransomware","Brute Force",28.15,42.74,65.31,17,11,"Updated","Enabled","Installed",88.52,18,"No"
"DEV0322","IoT Device","macOS","Sales","Open Port","Ransomware","Brute Force",22.47,16.12,136.94,18,19,"Updated","Enabled","Not Installed",67.81,13,"Yes"
"DEV0323","Laptop","Linux","Finance","Remote Code Execution","APT","Brute Force",64.88,62.88,319.84,8,17,"Updated","Enabled","Not Installed",62.84,37,"Yes"
"DEV0324","Laptop","Android","Admin","Privilege Escalation","Ransomware","Brute Force",80.4,37.44,330.65,16,10,"Updated","Enabled","Not Installed",91.3,47,"Yes"
"DEV0325","IoT Device","Linux","Sales","Privilege Escalation","Insider Threat","Phishing",91.62,57.57,417.32,4,8,"Updated","Enabled","Not Installed",96.95,34,"No"
"DEV0326","Server","macOS","Admin","Privilege Escalation","Ransomware","DDoS",80.95,72,264.32,0,5,"Outdated","Enabled","Installed",52.01,41,"Yes"
"DEV0327","Laptop","Linux","Admin","Privilege Escalation","APT","Brute Force",41.63,26.73,414.81,20,13,"Updated","Enabled","Installed",92.67,93,"No"
"DEV0328","Desktop","Android","Finance","Firewall Misconfiguration","Insider Threat","Phishing",78.47,65.81,131.7,7,16,"Updated","Disabled","Installed",49.23,7,"No"
"DEV0329","Laptop","Android","Admin","Remote Code Execution","APT","Phishing",22.87,88.43,494.23,15,15,"Outdated","Enabled","Not Installed",92,71,"Yes"
"DEV0330","Desktop","Android","Admin","Cross-Site Scripting","Insider Threat","Phishing",69.06,37.16,489.19,4,18,"Outdated","Disabled","Installed",66.16,46,"No"
"DEV0331","IoT Device","Windows","HR","Remote Code Execution","APT","Brute Force",97.36,25.17,167.51,4,13,"Outdated","Enabled","Not Installed",88.91,82,"No"
"DEV0332","Desktop","macOS","HR","SQL Injection","Malware","DDoS",69.77,35.53,294.34,10,8,"Outdated","Enabled","Installed",67.1,19,"No"
"DEV0333","Laptop","Windows","Sales","Outdated Antivirus","Ransomware","Brute Force",42.9,90.04,123.58,13,14,"Updated","Enabled","Not Installed",88.23,70,"No"
"DEV0334","Laptop","macOS","Admin","SQL Injection","Malware","DDoS",46.81,65.67,206.23,17,21,"Updated","Enabled","Not Installed",70.05,32,"No"
"DEV0335","Laptop","macOS","Finance","Unpatched Software","APT","Phishing",89.83,26.84,332.52,3,7,"Updated","Disabled","Installed",78.15,18,"No"
"DEV0336","Laptop","Linux","IT","Unpatched Software","Insider Threat","DDoS",38.29,73.67,391.37,12,16,"Outdated","Disabled","Not Installed",99.39,56,"No"
"DEV0337","IoT Device","Android","Sales","Outdated Antivirus","Ransomware","Brute Force",78.7,28.53,70.69,19,25,"Outdated","Enabled","Not Installed",72.79,48,"No"
"DEV0338","Server","macOS","HR","Firewall Misconfiguration","Malware","Brute Force",49.67,97.85,451.94,1,7,"Outdated","Disabled","Not Installed",43.98,43,"No"
"DEV0339","Laptop","macOS","Sales","Buffer Overflow","Malware","Phishing",96.11,81.84,449.15,6,11,"Updated","Enabled","Installed",92.93,42,"Yes"
"DEV0340","Laptop","Linux","Admin","Outdated Antivirus","Insider Threat","DDoS",99.18,49.95,407.46,15,13,"Outdated","Disabled","Installed",50.76,88,"Yes"
"DEV0341","Laptop","Android","Sales","Weak Password","Malware","DDoS",58.66,53.8,116.39,17,11,"Updated","Disabled","Installed",92.02,85,"No"
"DEV0342","Desktop","macOS","Finance","Cross-Site Scripting","APT","DDoS",69,47.36,442.49,2,14,"Updated","Disabled","Installed",52.31,7,"Yes"
"DEV0343","Desktop","Windows","HR","Privilege Escalation","Ransomware","DDoS",50.55,17.7,351.28,3,10,"Updated","Enabled","Installed",86.47,51,"No"
